=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.09 16:10:48 =~=~=~=~=~=~=~=~=~=~=~=
Tem3,Setpoint:95.50,Temperature:46.44,Duty:100.00,
Time:0:0:12,Ideal:75.14,Setpoint:95.50,Temperature:72.55,Duty:100.00,
Time:0:0:12,Ideal:75.14,Setpoint:95.50,Temperature:72.65,Duty:100.00,
Time:0:0:12,Ideal:75.14,Setpoint:95.50,Temperature:72.75,Duty:100.00,
Time:0:0:12,Ideal:75.14,Setpoint:95.50,Temperature:72.89,Duty:100.00,
Time:0:0:12,Ideal:75.14,Setpoint:95.50,Temperature:72.99,Duty:100.00,
Time:0:0:12,Ideal:75.14,Setpoint:95.50,Temperature:73.10,Duty:100.00,
Time:0:0:12,Ideal:75.14,Setpoint:95.50,Temperature:73.20,Duty:100.00,
Time:0:0:12,Ideal:75.14,Setpoint:95.50,Temperature:73.34,Duty:100.00,
Time:0:0:13,Ideal:77.14,Setpoint:95.50,Temperature:73.47,Duty:100.00,
Time:0:0:13,Ideal:77.14,Setpoint:95.50,Temperature:73.54,Duty:100.00,
Time:0:0:13,Ideal:77.14,Setpoint:95.50,Temperature:73.68,Duty:100.00,
Time:0:0:13,Ideal:77.14,Setpoint:95.50,Temperature:73.75,Duty:100.00,
Time:0:0:13,Ideal:77.14,Setpoint:95.50,Temperature:73.89,Duty:100.00,
Time:0:0:13,Ideal:77.14,Setpoint:95.50,Temperature:74.02,Duty:100.00,
Time:0:0:13,Ideal:77.14,Setpoint:95.50,Temperature:74.09,Duty:100.00,
Time:0:0:13,Ideal:77.14,Setpoint:95.50,Temperature:74.20,Duty:100.00,
Time:0:0:13,Ideal:77.14,Setpoint:95.50,Temperature:74.26,Duty:100.00,
Time:0:0:13,Ideal:77.14,Setpoint:95.50,Temperature:74.44,Duty:100.00,
Time:0:0:13,Ideal:77.14,Setpoint:95.50,Temperature:74.50,Duty:100.00,
Time:0:0:14,Ideal:79.14,Setpoint:95.50,Temperature:74.64,Duty:100.00,
Time:0:0:14,Ideal:79.14,Setpoint:95.50,Temperature:74.71,Duty:100.00,
Time:0:0:14,Ideal:79.14,Setpoint:95.50,Temperature:74.85,Duty:100.00,
Time:0:0:14,Ideal:79.14,Setpoint:95.50,Temperature:74.92,Duty:100.00,
Time:0:0:14,Ideal:79.14,Setpoint:95.50,Temperature:75.05,Duty:100.00,
Time:0:0:14,Ideal:79.14,Setpoint:95.50,Temperature:75.16,Duty:100.00,
Time:0:0:14,Ideal:79.14,Setpoint:95.50,Temperature:75.26,Duty:100.00,
Time:0:0:14,Ideal:79.14,Setpoint:95.50,Temperature:75.33,Duty:100.00,
Time:0:0:14,Ideal:79.14,Setpoint:95.50,Temperature:75.43,Duty:100.00,
Time:0:0:14,Ideal:79.14,Setpoint:95.50,Temperature:75.57,Duty:100.00,
Time:0:0:14,Ideal:79.14,Setpoint:95.50,Temperature:75.71,Duty:100.00,
Time:0:0:15,Ideal:81.14,Setpoint:95.50,Temperature:75.74,Duty:100.00,
Time:0:0:15,Ideal:81.14,Setpoint:95.50,Temperature:75.84,Duty:100.00,
Time:0:0:15,Ideal:81.14,Setpoint:95.50,Temperature:75.98,Duty:100.00,
